prompt_id,prompt
0,Which is a species of fish? Tope or Rope
1,Why can camels survive for long without water?
2,"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?"
3,Who gave the UN the land in NY to build their HQ
4,Why mobile is bad for human
5,Which episodes of season four of Game of Thrones did Michelle MacLaren direct?
6,What are some unique curtain tie backs that you can make yourself?
7,"Identify which instrument is string or percussion: Cantaro, Gudok"
8,Give me the top 5 golf equipment company names.
9,What individual has won the most Olympic gold medals in the history of the games?
10,Which Dutch artist painted “Girl with a Pearl Earring”?
11,What happens when the sun goes down?
12,"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter."
13,"Identify which instrument is string or woodwind: Panduri, Zurna"
14,"What is the average lifespan of a Golden Retriever?

Context: Golden Retrievers are a generally healthy breed; they have an average lifespan of 12 to 13 years. Irresponsible breeding to meet high demand has led to the prevalence of inherited health problems in some breed lines, including allergic skin conditions, eye problems and sometimes snappiness. These problems are rarely encountered in dogs bred from responsible breeders."
15,Who became king of Holland in 1806?
16,What is best Playstation or Xbox
17,Who played Billy the Kid in The Left Handed Gun
18,why did Syd Barrett left the Pink Floyd?
19,Give me a list of some characteristics of a good coffee shop?
20,Who saved Andromeda from the sea monster
21,How can I contribute to Spark?
22,write a scene between two actors discussing movie Inception
23,What is the currency in use in the Netherlands?
24,What is the best tv series in the world
25,Think of some family rules to promote a healthy family relationship
26,"In the series A Song of Ice and Fire, who is the founder of House Karstark?"
27,What is enriched air and why would divers dive with enriched air?
28,What film won the 1943 Oscar as best film
29,"which weighs more, cold or hot water?"
30,Write a short paragraph about why you should not have both a pet cat and a pet bird.
31,What is your favorite strip from the comic Calvin and Hobbes?
32,What makes a formula one car so fast?
33,"Identify which instrument is string or percussion: Kpanlogo, Shamisen"
34,Why do potato chip bags become stale after opening?
35,Classify each of the following as a primary color or a secondary color
36,What is the future for human?
37,Name some of the bravolebrities from Vanderpump Rules
38,Name some famous rock bands from the 1960s
39,"Who are the Smiths?

Context: The Smiths were an English rock band formed in Manchester in 1982. They comprised the singer Morrissey, the guitarist Johnny Marr, the bassist Andy Rourke and the drummer Mike Joyce. Morrissey and Marr formed the band's songwriting partnership. They are regarded as one of the most important acts to emerge from the 1980s British independent music."
40,Give me five ways in which I can make my homebrew beer more interesting
41,How many Grammy Awards has Bad Bunny won?
42,"What is HiFI?

Context: High fidelity (often shortened to Hi-Fi or HiFi) is the high-quality reproduction of sound. It is popular with audiophiles and home audio enthusiasts. Ideally, high-fidelity equipment has inaudible noise and distortion, and a flat (neutral, uncolored) frequency response within the human hearing range. High fidelity contrasts with the lower-quality “lo-fi” sound produced by inexpensive audio equipment, AM radio, or the inferior quality of sound reproduction that can be heard in recordings made until the late 1940s."
43,"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent"
44,What are some kinds of embroidery stitches for writing letters?
45,"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves."
46,What is a good way to get around without a car?
47,"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise"
48,"Why is Santa Cruz, California a great place to live?"
49,Give me some ideas to manage my manager.
